"cpv3","preco_total","count","mean","std","min","q1","q2","q3","max"
"601","2067778379.9613724",2699,"766127.595391394","12643547.642041644","-173664","9167.485","23241.5","78582.72","397191013.95"
"353","3146046.92109375",38,"82790.70844983553","75446.10628880805","2220","25738.275097656253","47057","133490","287974.4"
"150","90481750.64509797",936,"96668.53701399355","472519.51716366585","24.38","5928.5625","19054.3447265625","52652.64","9470799.87"
"225","109140.269921875",4,"27285.06748046875","10264.80100955018","14188.669921875","23257.91748046875","27958.6","31985.75","39034.4"
"443","2737256.7297558594",52,"52639.55249530499","71547.18708741022","98.9","11137.41","30000","58397.057499999995","400240"
"339","510415.7496109009",20,"25520.787480545045","31907.07438779891","105.2699966430664","3497","10415.2998046875","39465","126200"
"752","9297898.088242188",84,"110689.26295526414","165823.01077328948","0","29670","67525","132689.8","1288548.625"
"853","3264364.7516406253",35,"93267.56433258929","139541.22938996842","7705.5","36045","70936.5","90000","834802.4375"
"033","8221450.623842774",131,"62759.165067502094","163316.152323678","1156.85","9928.25","22750","59283.625","1317709.75"
"373","1290270.649375",12,"107522.55411458334","194091.3181647234","3450","13064.224999999999","38152.58","88801.105","700000"
"240","2650800.84",56,"47335.72928571428","71988.60945173205","0","346.81","16552.5","67228","387720"
"922","1444811.4859375",18,"80267.30477430555","64037.19315619393","3720","44625","63850","94040.765","220000"
"508","52795985.161596686",288,"183319.3929222107","522584.17021643627","0","28881","70000","156683.921875","6000000"
"188","3133175.076484375",49,"63942.348499681124","109256.7025510918","664.95","9486.2802734375","29918.7","103500","702000"
"642","170600527.155177",882,"193424.6339627857","1359671.517351271","0","10813.1396484375","42131.59","104913.3834375","29999900.4"
"091","565425195.3016504",1511,"374205.9532108871","1742590.98689147","0","42452.44","113498","210000","53185152"
"341","594366916.4855077",2230,"266532.24954507075","1070214.5850536127","0","38455.165","95047.5","181048.5","19260000"
"792","8427480.671367187",136,"61966.76964240579","69574.10533093371","0","12054.8271484375","35400","81855.25","416250"
"389","8122712.619570312",83,"97864.00746470256","228824.50053107925","852","17337.5","32000","65920.33499999999","1354674.25"
"720","146451439.10476562",333,"439794.1114257226","1645376.9043324867","0","53008.2","108000","261769.05","24000000"
"312","5733535.4203222655",33,"173743.4975855232","238756.93910923757","1350.699951171875","20500","81500","199800","988285"
"983","185515118.7798926",552,"336078.11373168946","2255346.777847","-525","28119.0126953125","72995.815","148017.96250000002","36000000"
"517","258213.30046875",4,"64553.3251171875","95055.31643817197","11932.23046875","15862.0576171875","19640.535","68331.80249999999","207000"
